id,born,bornIn,died,imdbId,name,poster,tmdbId,url,actor,director
21018,1957-01-16,"Buenos Aires, Argentina",,201857.0,Ricardo Darín,https://image.tmdb.org/t/p/w440_and_h660_face/mqTbReiUrm3ih8Osi1K7Lqk5hlN.jpg,69310,https://themoviedb.org/person/69310,1,0
21019,1969-06-19,"La Plata, Argentina",,897845.0,Soledad Villamil,https://image.tmdb.org/t/p/w440_and_h660_face/ojLw8ifWdVB5zk21u8rgbBkhsxD.jpg,93647,https://themoviedb.org/person/93647,1,0
21020,1937-04-07,,2008-11-29,241696.0,Ulises Dumont,,28508,https://themoviedb.org/person/28508,1,0
21021,1958-02-28,"Buenos Aires, Argentina",,87249.0,Eduardo Blanco,,132449,https://themoviedb.org/person/132449,1,0
21022,1969-10-17,"Chicago, Illinois, United States",,365445.0,Wood Harris,https://image.tmdb.org/t/p/w440_and_h660_face/9gvwUEu1fZTSTkykaCx2fSdSDWK.jpg,65829,https://themoviedb.org/person/65829,1,0
21023,1976-06-19,"Santa Monica, California, U.S.",,403652.0,Ryan Hurst,https://image.tmdb.org/t/p/w440_and_h660_face/5fdekwCpCzqpl3NfEE1DOtqUdnx.jpg,43858,https://themoviedb.org/person/43858,1,0
21025,1971-08-02,,,262521.0,Alice Evans,https://image.tmdb.org/t/p/w440_and_h660_face/bnqD4yDORWpJg8uQjwsngZjZdgd.jpg,65535,https://themoviedb.org/person/65535,1,0
21026,,,,656350.0,Steven Page,,1177696,https://themoviedb.org/person/1177696,1,0
21027,1970-10-25,Scarborough - Ontario - Canada,,731821.0,Ed Robertson,,230342,https://themoviedb.org/person/230342,1,0
21028,,,,187235.0,Jim Creeggan,,1177707,https://themoviedb.org/person/1177707,1,0
21029,,,,829882.0,Tyler Stewart,,1177701,https://themoviedb.org/person/1177701,1,0
21031,1975-06-28,"Thunder Bay, Ontario, Canada",,311473.0,Jeff Geddis,,166495,https://themoviedb.org/person/166495,1,0
21032,1973-06-08,"Toronto, Ontario,  Canada",,230693.0,Lexa Doig,https://image.tmdb.org/t/p/w440_and_h660_face/2YMhgkGtfyJW96RzyDsoy5o3apf.jpg,69574,https://themoviedb.org/person/69574,1,0
21033,1976-08-09,"Beaumont, Puy-de-Dôme, France",,851582.0,Audrey Tautou,https://image.tmdb.org/t/p/w440_and_h660_face/d1HVrV8zXy1FJVptmOCkHWG8Jf2.jpg,2405,https://themoviedb.org/person/2405,1,0
21034,1958-04-09,"Molières-sur-Cèze, Gard, France",,186677.0,Lorella Cravotta,https://image.tmdb.org/t/p/w440_and_h660_face/yhg52W7DcDMTYEFxxiOiqz9ba7A.jpg,2409,https://themoviedb.org/person/2409,1,0
21036,1969-03-11,"Chicago, Illinois, USA ",,5024.0,Terrence Howard,https://image.tmdb.org/t/p/w440_and_h660_face/3x1N0sMUueY56nkCaBT8mIgLSIy.jpg,18288,https://themoviedb.org/person/18288,1,0
21037,1971-09-20,"Milwaukee, Wisconsin, USA",,333888.0,Aimee Graham,,35545,https://themoviedb.org/person/35545,1,0
21038,,,,657548.0,Chris Palermo,,35546,https://themoviedb.org/person/35546,1,0
21040,1972-11-13,"Chiba, Chiba Prefecture, Japan",,454120.0,Takuya Kimura,https://image.tmdb.org/t/p/w440_and_h660_face/8veGL6ZmCRA6mZvq9u6qyZTmpj9.jpg,12670,https://themoviedb.org/person/12670,1,0
21042,1990-01-30,"Knoxville, Tennessee, USA",,858969.0,Jake Thomas,https://image.tmdb.org/t/p/w440_and_h660_face/rM0IbCQcaCJe37YDu44uIhv6xJX.jpg,9641,https://themoviedb.org/person/9641,1,0
21043,1963-06-12,"Ithaca, New York, USA",,215229.0,Tim DeKay,https://image.tmdb.org/t/p/w440_and_h660_face/pHPSlTKNbcspyquAHJHWPAKZKPP.jpg,76001,https://themoviedb.org/person/76001,1,0
21044,,,,655761.0,Pilar Padilla,https://image.tmdb.org/t/p/w440_and_h660_face/fBIt5EBh9744pJ6uznY0vk8q2lX.jpg,149936,https://themoviedb.org/person/149936,1,0
21045,1949-02-02,"South Bronx, New York, USA",,569079.0,Jack McGee,https://image.tmdb.org/t/p/w440_and_h660_face/xzBLwEdWxxZbZ3qbGrddldXvnSS.jpg,10489,https://themoviedb.org/person/10489,1,0
21046,,"Oakland, CA",,274298.0,Chris Ferreira,,108437,https://themoviedb.org/person/108437,1,0
21047,1975-03-06,"Burbank, California, U.S.",,278673.0,Mackenzie Firgens,https://image.tmdb.org/t/p/w440_and_h660_face/dVclzoj0GWdxITbtGlgM5X5IRe1.jpg,63155,https://themoviedb.org/person/63155,1,0
21050,1973-07-06,"Hudson, New York, U.S.",,5406.0,William Lee Scott,https://image.tmdb.org/t/p/w440_and_h660_face/p6mISLnDP84gaBOiXSpOenFO8Zd.jpg,10128,https://themoviedb.org/person/10128,1,0
21051,1973-02-12,"Toronto, Ontario, Canada",,152839.0,Tara Strong,https://image.tmdb.org/t/p/w440_and_h660_face/y9S3QzI3L5aARP8GYYO86rREKxU.jpg,15762,https://themoviedb.org/person/15762,1,0
21052,1958-12-25,Manville - New Jersey - USA,,153719.0,Cheryl Chase,,80719,https://themoviedb.org/person/80719,1,0
21054,1951-05-16,"Katsuyama, Fukui Prefecture, Japan",2018-08-17,411167.0,Unshô Ishizuka,https://image.tmdb.org/t/p/w440_and_h660_face/jSQPB45PbMYmSFGnlX9nGM9DRr4.jpg,68916,https://themoviedb.org/person/68916,1,0
21055,,,,484174.0,Kevin Seymour,,104712,https://themoviedb.org/person/104712,1,0
21057,1961-02-05,"Highland Park, Michigan, USA",,5218.0,Tim Meadows,https://image.tmdb.org/t/p/w440_and_h660_face/c7NvUYdkUDRnPDpmQgyXIG4HrcN.jpg,51857,https://themoviedb.org/person/51857,1,0
21058,1966-10-08,"Hollywood, Los Angeles, California, USA",,663854.0,Karyn Parsons,https://image.tmdb.org/t/p/w440_and_h660_face/iQzZ1Vedy1aP2i2qnMkOcJoElGS.jpg,80987,https://themoviedb.org/person/80987,1,0
21060,1984-10-07,Messina,,837868.0,Giuseppe Sulfaro,https://image.tmdb.org/t/p/w440_and_h660_face/n2dGRXym6gJwwwkDt5IUjTnAHVt.jpg,67612,https://themoviedb.org/person/67612,1,0
21061,1968-08-28,"Sanremo, Liguria, Italy",,270119.0,Luciano Federico,https://image.tmdb.org/t/p/w440_and_h660_face/tkZN8uWDtnoMkjaJ1GCQoBKc7eo.jpg,67613,https://themoviedb.org/person/67613,1,0
21062,1958-06-07,"Catania, italy",,681218.0,Matilde Piana,,67614,https://themoviedb.org/person/67614,1,0
21063,1982-05-31,"Boston, Massachusetts, USA",,6958.0,Jonathan Tucker,https://image.tmdb.org/t/p/w440_and_h660_face/gR1lthok818AcmJsg87f1On6Qnf.jpg,17243,https://themoviedb.org/person/17243,1,0
21064,1975-12-10,"Montreal, Quebec, Canada",,4825.0,Emmanuelle Chriqui,https://image.tmdb.org/t/p/w440_and_h660_face/aG8UxYWojEWulKSctUQaxhnVeoX.jpg,59192,https://themoviedb.org/person/59192,1,0
21065,1976-10-03,"Cottage Grove, Minnesota, USA",,5405.0,Seann William Scott,https://image.tmdb.org/t/p/w440_and_h660_face/q7sOqLQPJCscw2oatxKS5sJvXpn.jpg,57599,https://themoviedb.org/person/57599,1,0
